"","date","location","n_gene","n_top","n_bot","ORF1a","s_gene","s_top","s_bot","bcov","pmmov"
"1",2020-03-18,"SanJose",8828.14451,12578.7766,5277.17081,16774.8516,34438.8696,42748.049,27173.1443,0.7639,822633745
"2",2020-03-26,"SanJose",21851.2002,27586.4083,16972.6164,21851.2002,59143.4445,68267.8084,50871.7532,0.55618,525773196
"3",2020-04-06,"SanJose",5412.65614,8390.15689,2462.86805,7577.87026,11908.5583,19369.694,4697.36238,0.66842,466381556
"4",2020-04-19,"SanJose",0,0,0,0,8064.43199,11534.7882,5371.93851,0.59712,388454825
"5",2020-04-22,"SanJose",5183.78737,8851.43398,1735.01729,0,5183.78737,10189.0309,0,0.508,394300062
"6",2020-05-01,"SanJose",0,0,0,0,3580.31756,5718.79952,1731.02739,0.46236,265443038
"7",2020-05-09,"SanJose",0,0,0,0,5337.42819,8525.40484,1898.18965,0.95153,926900585
"8",2020-05-13,"SanJose",0,0,0,2992.48897,2992.48897,5123.24491,1259.94578,0.61648,719820494
"9",2020-05-23,"SanJose",0,0,0,0,0,0,0,0.7237,656888889
"10",2020-06-04,"SanJose",12509.6308,19052.6398,7670.76552,7505.63689,17513.8134,27434.9741,6078.56205,0.6969,1174108818
"11",2020-06-16,"SanJose",23551.0509,34718.2061,11537.3326,0,32383.5996,43180.5885,22379.9711,0.65059,750979798
"12",2020-07-05,"SanJose",24790.301,30592.614,19773.6222,10623.2403,35417.6517,42266.1419,29352.7615,0.55256,482612969
"13",2020-07-14,"SanJose",78272.8032,87442.1046,69744.4851,68403.2766,96784.6976,106914.602,87486.854,0.533,6.98e+08
"14",2020-07-16,"SanJose",73796.557,79352.5057,67759.3713,65696.5611,90716.1697,95363.9518,85851.0004,0.194,954503351
"15",2020-07-19,"SanJose",82515.0766,89840.7391,75394.4434,73586.6501,99931.0271,105942.097,93912.0799,0.325,766472565
"16",2020-07-21,"SanJose",50156.0742,54609.0342,45066.4631,48768.5003,67273.0901,71900.5075,62350.9196,0.189,6858273974
"17",2020-07-23,"SanJose",67314.2174,72123.8964,62998.6694,73253.6552,95586.4186,100764.719,90202.5191,2.33,639598834
"18",2020-07-26,"SanJose",53272.3637,62565.936,44813.6579,48618.7501,67448.1183,78259.1566,57041.047,0.192,595799425
"19",2020-07-28,"SanJose",40393.5452,49383.1909,31378.3443,37587.4257,46848.1938,56670.317,36864.6128,0.141,451852311
"20",2020-07-30,"SanJose",68580.4329,76538.4203,60527.0917,68580.4329,88090.7596,97518.9721,78986.0199,0.363,948298218
"21",2020-08-02,"SanJose",64274.1399,67895.7385,60652.8633,60190.1845,87560.5885,92365.8518,83324.9296,0.513,1039733490
"22",2020-08-04,"SanJose",42421.052,48790.5945,36707.7625,47381.8297,77157.3674,83810.8737,69505.9516,0.26,725115264
"23",2020-08-06,"SanJose",48274.5921,53744.8696,41153.7018,53324.9456,67161.8815,72800.8344,58174.2318,0.352,1083599397
"24",2020-08-11,"SanJose",56415.2029,60109.4189,52377.3925,45205.4709,65425.4321,69994.0791,61124.2003,0.385,885284656
"25",2020-08-12,"SanJose",67246.1356,73726.5583,61159.3565,59999.6914,91840.4818,96715.1172,86966.3399,0.287,915965880
"26",2020-09-15,"SanJose",32352.7927,37619.2646,26310.0656,26246.5307,39477.9195,44726.034,32979.9743,0.65,7.4e+08
"27",2020-09-17,"SanJose",22179.988,25243.6175,19413.0778,19664.1196,26297.1955,29234.4344,23318.8238,0.53,7.95e+08
"28",2020-09-20,"SanJose",50683.3361,55110.8133,46102.7219,44855.263,66422.2406,70821.3393,62023.4951,0.96,1.55e+09
"29",2020-09-22,"SanJose",132576.605,144903.986,120554.696,134567.376,176055.806,194070.103,158053.44,0.878,1.32e+09
"30",2020-09-24,"SanJose",20513.0977,23152.5292,18082.4086,23038.2618,26510.5318,31357.8898,22466.7884,0.787,1.12e+09
"31",2020-09-27,"SanJose",8139.77741,10389.9635,5814.18181,7122.23142,8139.77741,9886.27582,6139.47091,0.51,4.33e+08
"32",2020-09-29,"SanJose",16189.8732,19124.4536,13509.9371,16189.8732,30526.0764,34811.0755,26841.7676,0.899,7.53e+08
"33",2020-10-01,"SanJose",7994.93497,9517.03731,6504.63032,12933.7411,20695.8906,23173.1707,17445.4741,0.464,940639788
"34",2020-10-04,"SanJose",13559.3327,16713.1163,11349.4566,24964.1272,34521.3439,37783.4015,31007.6251,0.501,980210020
"35",2020-10-06,"SanJose",6612.12226,9433.50976,4562.42999,14327.3304,17358.6207,20229.9082,14953.7575,0.321,647802251
"36",2020-10-08,"SanJose",3081.85846,4185.4508,2241.89204,6444.11403,12608.8665,15049.7863,10439.8414,0.438,592826803
"37",2020-10-11,"SanJose",6275.54486,8114.67113,4779.60324,10269.488,14549.0688,17206.4127,12386.0925,0.524,872445510
"38",2020-10-13,"SanJose",5454.02929,6730.67267,4374.07816,6693.67513,10908.731,12752.4575,9194.52495,0.422,842489021
"39",2020-10-15,"SanJose",7302.92089,9117.94856,5244.99545,16693.9881,21564.1359,24408.1798,18347.3668,0.425,910216260
"40",2020-10-18,"SanJose",7399.3408,8912.51236,6068.19534,12332.8835,15073.9642,17532.2344,12951.0766,0.347,942194409
"41",2020-10-20,"SanJose",5583.46296,7162.37986,3611.94133,7040.1396,13838.6326,15745.8049,12092.2859,0.5,718386283
"42",2020-10-21,"SanJose",6060.59091,7704.27583,3782.41204,7954.67782,13637.3765,16674.4644,7818.68426,0.376,679683508
"43",2020-10-22,"SanJose",6096.50116,7809.33222,4431.06671,8535.28861,12193.6702,14706.1836,8858.55222,0.57,806544065
"44",2020-10-25,"SanJose",10624.7483,12797.5402,7551.24235,21251.3432,27549.4543,31660.1252,24187.3356,0.479,733693437
"45",2020-10-26,"SanJose",8085.51787,10314.1676,4874.72443,13793.5095,27113.9889,30850.8448,23692.2858,0.792,1906717945
"46",2020-10-27,"SanJose",5293.32905,9642.79154,2404.3286,13528.0903,18822.3093,23463.3063,15696.3249,0.455,784818627
"47",2020-10-28,"SanJose",4596.70049,7464.03624,2879.66927,17009.306,18388.6193,21440.6808,15641.0518,0.575,811480541
"48",2020-11-01,"SanJose",8088.63248,10294.753,5302.80764,13931.0493,34608.4362,39834.6109,30140.6201,0.626,2664882570
"49",2020-11-02,"SanJose",18305.7389,21911.8209,13456.596,29176.6979,44055.0727,49879.3736,39242.772,0.833,1183956778
"50",2020-11-03,"SanJose",19168.7861,22532.8722,16157.9036,52192.9865,60717.6786,66404.6211,50410.1493,0.786,1952223838
"51",2020-11-04,"SanJose",42474.6681,49458.3934,33975.2891,51523.4804,51916.9341,56548.0393,46635.1679,0.679,1107192903
"52",2020-11-15,"SanJose",7480.72259,9709.37086,3784.60921,36235.5942,52394.7465,61053.6357,38983.6894,0.226,524458863
"53",2020-11-16,"SanJose",101263.73,107065.294,94803.4682,150153.719,143578.898,154295.39,133280.144,0.279,872718576
"54",2020-11-17,"SanJose",72455.6839,77610.3231,67189.8024,116403.045,124840.49,138427.517,112204.428,0.33,778781366
"55",2020-11-18,"SanJose",44045.6334,48933.8984,38580.5162,42807.732,61132.6564,68706.9471,53614.0007,0.243,636088558
"56",2020-11-19,"SanJose",84489.0128,89078.082,78141.8797,119931.681,126674.258,132294.91,120554.186,0.398,734486644
"57",2020-11-20,"SanJose",19746.8601,23276.3161,15134.4401,49706.6679,70970.132,79045.041,64138.932,0.246,372829261
"58",2020-11-21,"SanJose",67437.8932,77172.5577,58658.7546,98095.4022,107214.809,128052.127,88894.2893,0.219,456877275
"59",2020-11-22,"SanJose",43067.6986,46755.9745,38263.3858,72055.821,96269.6811,101195.554,91344.3792,0.29,549923912
"60",2020-11-23,"SanJose",131414.042,138420.529,123213.124,137027.307,150502.254,159218.753,141570.278,0.494,965259607
"61",2020-11-24,"SanJose",75035.8454,94495.5745,61060.0343,146802.679,181956.652,203792.793,168215.171,0.314,851686659
"62",2020-11-25,"SanJose",126933.896,148582.769,105346.656,140279.126,149016.445,171108.918,126686.2,0.306,553864656
