Date,Total_cases,New_cases
2020/01/27,1,1
2020/01/28,2,1
2020/01/29,3,1
2020/01/30,4,1
2020/01/31,6,2
2020/02/01,6,0
2020/02/02,6,0
2020/02/03,6,0
2020/02/04,6,0
2020/02/05,6,0
2020/02/06,6,0
2020/02/07,6,0
2020/02/08,6,0
2020/02/09,6,0
2020/02/10,6,0
2020/02/11,6,0
2020/02/12,6,0
2020/02/13,6,0
2020/02/14,6,0
2020/02/15,6,0
2020/02/16,6,0
2020/02/17,7,1
2020/02/18,7,0
2020/02/19,7,0
2020/02/20,8,1
2020/02/21,9,1
2020/02/22,9,0
2020/02/23,9,0
2020/02/24,9,0
2020/02/25,9,0
2020/02/26,11,2
2020/02/27,11,0
2020/02/28,13,2
2020/02/29,17,4
2020/03/01,17,0
2020/03/02,22,5
2020/03/03,24,2
2020/03/04,29,5
2020/03/05,36,7
2020/03/06,46,10
2020/03/07,54,8
2020/03/08,58,4
2020/03/09,75,17
2020/03/10,91,16
2020/03/11,117,26
2020/03/12,140,23
2020/03/13,188,48
2020/03/14,231,43
2020/03/15,263,32
2020/03/16,300,37
2020/03/17,353,53
2020/03/18,398,45
2020/03/19,444,46
2020/03/20,508,64
2020/03/21,544,36
2020/03/22,585,41
2020/03/23,664,79
2020/03/24,736,72
2020/03/25,814,78
2020/03/26,889,75
2020/03/27,956,67
2020/03/28,996,40
2020/03/29,1020,24
2020/03/30,1098,78
2020/03/31,1149,51
2020/04/01,1199,50
2020/04/02,1252,53
2020/04/03,1295,43
2020/04/04,1328,33
2020/04/05,1371,43
2020/04/06,1424,53
2020/04/07,1465,41
2020/04/08,1537,72
2020/04/09,1605,68
2020/04/10,1687,82
2020/04/11,1728,41
2020/04/12,1752,24
2020/04/13,1793,41
2020/04/14,1837,44
2020/04/15,1868,31
2020/04/16,1895,27
2020/04/17,1937,42
2020/04/18,1952,15
2020/04/19,1966,14
2020/04/20,1991,25
2020/04/21,2017,26
2020/04/22,2066,49
2020/04/23,2086,20
2020/04/24,2116,30
2020/04/25,2130,14
2020/04/26,2141,11
2020/04/27,2165,24
2020/04/28,2187,22
2020/04/29,2215,28
2020/04/30,2226,11
2020/05/01,2247,21
2020/05/02,2259,12
2020/05/03,2267,8
2020/05/04,2286,19
2020/05/05,2299,13
2020/05/06,2327,28
2020/05/07,2339,12
2020/05/08,2363,24
2020/05/09,2374,11
2020/05/10,2377,3
2020/05/11,2397,20
2020/05/12,2412,15
2020/05/13,2432,20
2020/05/14,2456,24
2020/05/15,2471,15
2020/05/16,2486,15
2020/05/17,2493,7
2020/05/18,2532,39
2020/05/19,2576,44
2020/05/20,2612,36
2020/05/21,2633,21
2020/05/22,2660,27
2020/05/23,2677,17
2020/05/24,2679,2
2020/05/25,2686,7
2020/05/26,2718,32
2020/05/27,2757,39
2020/05/28,2780,23
2020/05/29,2824,44
2020/05/30,2840,16
2020/05/31,2850,10
2020/06/01,2884,34
2020/06/02,2909,25
2020/06/03,2952,43
2020/06/04,2989,37
2020/06/05,3025,36
2020/06/06,3038,13
2020/06/07,3056,18
2020/06/08,3094,38
2020/06/09,3141,47
2020/06/10,3204,63
2020/06/11,3254,50
2020/06/12,3312,58
2020/06/13,3333,21
