date,confirmed
2020-02-26,1
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,2
2020-03-02,2
2020-03-03,1
2020-03-04,3
2020-03-05,1
2020-03-06,1
2020-03-07,3
2020-03-08,4
2020-03-09,4
2020-03-10,13
2020-03-11,11
2020-03-12,12
2020-03-13,21
2020-03-14,10
2020-03-15,19
2020-03-16,44
2020-03-17,41
2020-03-18,53
2020-03-19,49
2020-03-20,49
2020-03-21,22
2020-03-22,24
2020-03-23,54
2020-03-24,39
2020-03-25,43
2020-03-26,34
2020-03-27,43
2020-03-28,14
2020-03-29,11
2020-03-30,47
2020-03-31,43
2020-04-01,41
2020-04-02,30
2020-04-03,70
2020-04-04,14
2020-04-05,11
2020-04-06,36
2020-04-07,30
2020-04-08,21
2020-04-09,11
2020-04-10,3
2020-04-11,10
2020-04-12,14
2020-04-13,5
2020-04-14,14
2020-04-15,10
2020-04-16,8
2020-04-17,8
2020-04-18,4
2020-04-19,1
2020-04-20,8
2020-04-21,12
2020-04-22,8
2020-04-23,20
2020-04-24,9
2020-04-25,14
2020-04-26,3
2020-04-27,7
2020-04-28,9
2020-04-29,3
2020-04-30,4
2020-05-02,1
2020-05-04,7
2020-05-05,7
2020-05-06,7
2020-05-07,3
2020-05-08,2
2020-05-10,1
2020-05-11,4
2020-05-12,2
2020-05-15,2
2020-05-16,1
2020-05-17,2
2020-05-18,1
2020-05-20,1
2020-05-22,1
2020-05-25,1
2020-05-26,1
2020-05-27,1
2020-05-28,3
2020-05-29,4
2020-06-01,6
2020-06-02,1
2020-06-03,1
2020-06-04,1
2020-06-09,1
2020-06-10,1
2020-06-11,1
2020-06-12,1
2020-06-13,2
2020-06-14,3
2020-06-15,1
2020-06-16,3
2020-06-18,1
2020-06-19,2
2020-06-21,1
2020-06-22,2
2020-06-23,1
2020-06-24,6
2020-06-25,9
2020-06-26,10
2020-06-27,2
2020-06-29,19
2020-06-30,9
2020-07-01,8
2020-07-02,5
2020-07-03,3
2020-07-05,1
2020-07-06,9
2020-07-07,7
2020-07-08,2
2020-07-09,4
2020-07-10,9
2020-07-11,6
2020-07-12,2
2020-07-13,9
2020-07-14,10
2020-07-15,3
2020-07-16,11
2020-07-17,9
2020-07-18,1
2020-07-20,5
2020-07-21,6
2020-07-22,9
