data_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,plot_row
N1,2020-09-08,1.0614958540542663,2.0728762252558743,0.3859008794421066,NA
N1,2020-09-09,1.029102247166906,2.0115350091873636,0.3733111053784203,NA
N1,2020-09-10,1.0117125209122495,1.978470935731675,0.36661016543367736,NA
N1,2020-09-11,1.006437560283639,1.9667565543170782,0.36529163353792526,NA
N1,2020-09-12,1.0177629498750052,1.980843313856798,0.3728267693474648,NA
N1,2020-09-13,1.0514574127958372,2.0272216325043426,0.39344035050217313,NA
N1,2020-09-14,1.1096057287247942,2.106632155738033,0.4295919341806287,NA
N1,2020-09-15,1.1934921190776024,2.2176630161446003,0.4839770953750123,NA
N1,2020-09-16,1.2957605483372374,2.3462797581492594,0.5544605789986438,NA
N1,2020-09-17,1.4035481405915375,2.4714201390250787,0.6351309333954167,NA
N1,2020-09-18,1.4976362169284396,2.5655848645081423,0.7145369805613154,NA
N1,2020-09-19,1.56222950113958,2.6091017402639993,0.7813396590536185,NA
N1,2020-09-20,1.5974562116976203,2.6059334334208692,0.8334023031252278,NA
N1,2020-09-21,1.606634012787898,2.5652559608938392,0.8701151777572563,NA
N1,2020-09-22,1.5886214786447816,2.490058400710155,0.8877539768888932,NA
N1,2020-09-23,1.547342706748356,2.3885423134408454,0.8869124000919425,NA
N1,2020-09-24,1.499662600412553,2.2838182067150257,0.8787419710857431,NA
N1,2020-09-25,1.4548840808162051,2.1883584317587967,0.8695811019921703,NA
N1,2020-09-26,1.4186961488072902,2.1090313802217,0.8637929892785073,NA
N1,2020-09-27,1.394629761725427,2.0492979847262824,0.8646172350409936,NA
N1,2020-09-28,1.381378474981457,2.0064419046299506,0.8717372020872943,NA
N1,2020-09-29,1.385599324843273,1.9873060155199402,0.891227980815572,NA
N1,2020-09-30,1.4074643207324844,1.9908752809044485,0.9241112195342729,NA
N1,2020-10-01,1.4471763178261932,2.016095701932051,0.97152880235817,NA
N1,2020-10-02,1.5007750346474156,2.0569898208189747,1.0312562992288619,NA
N1,2020-10-03,1.5614115458820252,2.1044692799380695,1.0984786735175607,NA
N1,2020-10-04,1.6163640298612498,2.143211177831707,1.1629813881596545,NA
N1,2020-10-05,1.6554538464328201,2.161698292656102,1.215961549237835,NA
N1,2020-10-06,1.67525270844389,2.1569198267859013,1.2537326087767064,NA
N1,2020-10-07,1.6754660541110447,2.1298113197392463,1.274981808009216,NA
N1,2020-10-08,1.6574078631913112,2.0830854816839253,1.2798016039953037,NA
N1,2020-10-09,1.625268927815724,2.022391206062261,1.271029997355773,NA
N1,2020-10-10,1.5902584537912205,1.9608045792325752,1.2580481589283043,NA
N1,2020-10-11,1.5563933484600414,1.902962512502182,1.2442359577686508,NA
N1,2020-10-12,1.5212094882962586,1.846023107263219,1.2274402381803973,NA
N1,2020-10-13,1.4823340995089271,1.7871502923189684,1.205667397100819,NA
N1,2020-10-14,1.4402209994781552,1.7266638498815128,1.1794361121343173,NA
N1,2020-10-15,1.393039669856245,1.662449746750394,1.1471502350021625,NA
N1,2020-10-16,1.338250174051457,1.5916613291992054,1.1065382334613993,NA
N1,2020-10-17,1.2766395195146836,1.5151066773122615,1.0583371429723925,NA
N1,2020-10-18,1.2154083077287652,1.4405921382990823,1.0091234467244274,NA
N1,2020-10-19,1.1609616876720437,1.3750326969824387,0.9647780879894305,NA
N1,2020-10-20,1.1135579127738116,1.3185818454139857,0.9256418894409223,NA
N1,2020-10-21,1.0693443061910162,1.2668475588852548,0.8883691980644464,NA
N1,2020-10-22,1.0292823088447214,1.2206699102963032,0.8540106291922787,NA
N1,2020-10-23,0.9933963033556525,1.179928221574476,0.8227135817739533,NA
N1,2020-10-24,0.9605238671109805,1.1432500697905073,0.7935107534612477,NA
N1,2020-10-25,0.9301994237099467,1.110037505695909,0.7660571656230674,NA
N1,2020-10-26,0.9043983693345276,1.0823825327658938,0.7422034769025371,NA
N1,2020-10-27,0.8871739925277237,1.0646868533865912,0.7256495713154437,NA
N1,2020-10-28,0.8775193617790278,1.0558151377109601,0.7155095702066734,NA
N1,2020-10-29,0.8761741660622189,1.0564957944764501,0.712517876584153,NA
N1,2020-10-30,0.8856206003860791,1.0693403770881698,0.7190038674815324,NA
N1,2020-10-31,0.9061097621967701,1.0944806159744105,0.7353090499901717,NA
N1,2020-11-01,0.9347872353698357,1.1285698747980912,0.7590328190325918,NA
N1,2020-11-02,0.9644751066621425,1.1634566451037893,0.7839246696726263,NA
N1,2020-11-03,0.9875002909840326,1.1904730192211945,0.8032643562071564,NA
N1,2020-11-04,1.0011033616952725,1.2064799630405143,0.8146524486765633,NA
N1,2020-11-05,1.0039402967540985,1.2100728781337802,0.8168177284113256,NA
N1,2020-11-06,0.9981242088217749,1.203766772622163,0.8115059850628749,NA
