meanOpts,sdOpts,rmse,coverage,mape
0.5,0.5,0.12812332391612835,0.8760330578512396,0.0981841996035023
0.5,1,0.1283530158146754,0.8760330578512396,0.09851704035013667
0.5,1.5,0.12898525625541313,0.8760330578512396,0.09924142012259647
0.5,2,0.12921960402917795,0.8677685950413223,0.0999133056847533
0.5,2.5,0.12915715325678198,0.8677685950413223,0.10045981576442257
0.5,3,0.12897925307680813,0.859504132231405,0.100829226815685
0.5,3.5,0.12878620810902888,0.859504132231405,0.10106505819528594
0.5,4,0.12860283294893246,0.859504132231405,0.10118895111249333
0.5,4.5,0.1284433811279701,0.859504132231405,0.10126362650967252
0.5,5,0.12828541560429682,0.859504132231405,0.10127583290205415
0.5,5.5,0.1281499451529585,0.859504132231405,0.10124896674630747
0.5,6,0.12795756853687737,0.859504132231405,0.10115578067267728
0.5,6.5,0.12785397392364317,0.859504132231405,0.10110775786255141
0.5,7,0.12777301320238507,0.859504132231405,0.10107997214753281
0.5,7.5,0.1276113467380945,0.859504132231405,0.10096943828547388
0.5,8,0.12752732438834893,0.859504132231405,0.10091142224120518
0.5,8.5,0.12742005126142764,0.859504132231405,0.10083245511125626
0.5,9,0.12732889418305293,0.859504132231405,0.10076844398071552
0.5,9.5,0.12728180345910992,0.859504132231405,0.10074434959490246
0.5,10,0.12715561688399837,0.859504132231405,0.10064689316823623
1,0.5,0.13114241893382014,0.9083333333333333,0.09476702184002507
1,1,0.13684536194095107,0.8916666666666667,0.09688341131279639
1,1.5,0.12984351558515925,0.8842975206611571,0.09705137028625287
1,2,0.13095438943174395,0.8842975206611571,0.09824834120959372
1,2.5,0.1315723306771552,0.8760330578512396,0.09928075939751911
1,3,0.13178371204638517,0.859504132231405,0.10010275652232176
1,3.5,0.1317133068065448,0.859504132231405,0.10071744965885504
1,4,0.13152030595510142,0.859504132231405,0.10124952338286275
1,4.5,0.13131766222036612,0.859504132231405,0.10170441729210902
1,5,0.13106249159417346,0.859504132231405,0.10197165879759118
1,5.5,0.1308597382120234,0.859504132231405,0.1022172728863194
1,6,0.1306594912269289,0.859504132231405,0.10236564066641493
1,6.5,0.13043774676393818,0.859504132231405,0.1024506370378963
1,7,0.1302262767743835,0.8677685950413223,0.10246413508232634
1,7.5,0.13005061691662984,0.859504132231405,0.1024676189778802
1,8,0.12988727172526657,0.859504132231405,0.10246302088512013
1,8.5,0.1297098104825172,0.859504132231405,0.10239314690840366
1,9,0.1295200871773222,0.859504132231405,0.10230355514678967
1,9.5,0.12934593363698588,0.859504132231405,0.10219614472901609
1,10,0.1292116129766406,0.859504132231405,0.10213488785635598
1.5,0.5,0.12873529651955717,0.9333333333333333,0.09134111637373256
1.5,1,0.1321835499081423,0.925,0.0925557214419714
1.5,1.5,0.13669118341198722,0.925,0.09451824921376088
1.5,2,0.13985264999596766,0.9,0.09639511388872088
1.5,2.5,0.13234330431438818,0.8842975206611571,0.09739518492711025
1.5,3,0.13325843669054874,0.8842975206611571,0.09873452914776511
1.5,3.5,0.13373952142557863,0.8677685950413223,0.0998239429603074
1.5,4,0.13385242021206414,0.859504132231405,0.1006713755300778
1.5,4.5,0.13381517855955222,0.859504132231405,0.10137960244314671
1.5,5,0.1336520007109474,0.859504132231405,0.10194897357929997
1.5,5.5,0.13342289302661822,0.8512396694214877,0.10238059299401187
1.5,6,0.13315775318683185,0.859504132231405,0.10268799894843142
1.5,6.5,0.13297569543382692,0.859504132231405,0.10299506953848317
1.5,7,0.1327356453540097,0.859504132231405,0.10316012847929512
1.5,7.5,0.13245722136160387,0.859504132231405,0.10335546752845805
1.5,8,0.13232035881810292,0.859504132231405,0.10351225738054573
1.5,8.5,0.13214626218505637,0.859504132231405,0.10365010960248182
1.5,9,0.13190083160327035,0.859504132231405,0.10362338974350259
1.5,9.5,0.13168707287050108,0.859504132231405,0.10362249330049923
1.5,10,0.131425271942541,0.859504132231405,0.10352539357248611
2,0.5,0.1279151654924408,0.9411764705882353,0.08720020927868281
2,1,0.13282838788377127,0.9327731092436975,0.08860231900317439
2,1.5,0.1379333345139023,0.9327731092436975,0.09042087186332065
2,2,0.1369206443395109,0.925,0.09269418013314876
2,2.5,0.1399687256807176,0.925,0.09484954614403672
2,3,0.14191631085327694,0.8916666666666667,0.09675091066425447
2,3.5,0.14305918608336896,0.8833333333333333,0.09828713149691343
2,4,0.13516329114627382,0.8677685950413223,0.09950717100507098
2,4.5,0.13546376059002038,0.859504132231405,0.10040964560249244
2,5,0.13559492072045531,0.859504132231405,0.10127856299732803
2,5.5,0.1355034329954791,0.8512396694214877,0.10198660571165681
2,6,0.1353849043034224,0.8512396694214877,0.1026372642911907
2,6.5,0.13520383052902935,0.859504132231405,0.10310693988894436
2,7,0.13497336322647518,0.859504132231405,0.10351639735127939
2,7.5,0.13477139633657112,0.8512396694214877,0.10381641664368686
2,8,0.13458590785028077,0.8512396694214877,0.10411967606643954
2,8.5,0.13434506318161168,0.859504132231405,0.10430097556246658
2,9,0.13415169101308927,0.859504132231405,0.10445027802674428
2,9.5,0.13388908377404726,0.859504132231405,0.10451699262750844
2,10,0.1336954688022554,0.859504132231405,0.10459062358439658
2.5,0.5,0.12335587193628135,0.9411764705882353,0.08310079182609127
2.5,1,0.1274580024128593,0.9411764705882353,0.08435892110233661
2.5,1.5,0.13265083564310165,0.9411764705882353,0.08615001669284085
2.5,2,0.13759810563061847,0.9327731092436975,0.08833103899495691
2.5,2.5,0.14147625378540685,0.9243697478991597,0.09056680022579909
2.5,3,0.14017611828157892,0.9166666666666666,0.09412823809692725
2.5,3.5,0.14216508769950786,0.8916666666666667,0.0960857791280018
2.5,4,0.14342398938784873,0.8916666666666667,0.09766744927354284
2.5,4.5,0.1441567849350174,0.8916666666666667,0.09893417022460167
2.5,5,0.13671536625067185,0.8760330578512396,0.10005751227516105
2.5,5.5,0.13691705390697043,0.8677685950413223,0.10100636721776307
2.5,6,0.13697245058436278,0.859504132231405,0.10184193761675465
2.5,6.5,0.13694996986708072,0.8512396694214877,0.10259664035322591
2.5,7,0.13679902002468902,0.8512396694214877,0.10321944780509074
2.5,7.5,0.13670067990085916,0.8429752066115702,0.10378178202105907
2.5,8,0.13653835522181762,0.8429752066115702,0.10422953905472271
2.5,8.5,0.13631217878455681,0.8429752066115702,0.10461778426715
2.5,9,0.13614495694997725,0.859504132231405,0.10489800022145089
2.5,9.5,0.13597197897617153,0.859504132231405,0.10521916335405154
2.5,10,0.1357569806747717,0.8512396694214877,0.10534746418855855
3,0.5,0.11853775912561842,0.9491525423728814,0.07846868169406726
3,1,0.12258353882940314,0.9491525423728814,0.0795613134717854
3,1.5,0.12743204691619478,0.9491525423728814,0.08111896144075316
3,2,0.1321097339142076,0.940677966101695,0.0829261369291639
3,2.5,0.13757224621253203,0.9411764705882353,0.08706208939653091
3,3,0.14113127918688118,0.9243697478991597,0.08953267930836169
3,3.5,0.14364315529309343,0.9159663865546218,0.09165184122166199
3,4,0.14530504264216887,0.907563025210084,0.09348807791194232
3,4.5,0.1436559808121872,0.8916666666666667,0.09697501836834768
