country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,sampling
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-18,1.404069151609401,1.5914838131614035,1.2282445736143166,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-19,1.3201032972394249,1.4925766631389563,1.1580831284157491,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-20,1.2696391344041291,1.4322361118371145,1.1167128359789966,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-21,1.2362337016266443,1.3916783117040843,1.0898759319702869,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-22,1.2211513760651542,1.3715363796641333,1.0793863030294535,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-23,1.2302102017897227,1.3775621605973993,1.091085438704861,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-24,1.2628328335501806,1.4087841116737536,1.1247594141177935,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-25,1.3019990899947669,1.4468429599457893,1.1638622018060463,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-26,1.327658842980146,1.4703179253108807,1.1906613881723338,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-27,1.3296381757138376,1.4684646931245817,1.197615241968065,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-28,1.315553227204353,1.4495016742932023,1.1880139765256668,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-29,1.2950829887481656,1.4238983021134393,1.1722951962382566,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-30,1.2669570865392283,1.3905562159657383,1.1490353335798658,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-01,1.2262214884073606,1.3444003217109597,1.1134083099049625,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-02,1.1782895581059825,1.2911586613780117,1.0705152462943572,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-03,1.1271283638073033,1.2350415204079939,1.0240839115968787,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-04,1.0723671831393795,1.1756953710731644,0.9737294025595972,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-05,1.014560329561859,1.1136943781443003,0.9199868163504731,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-06,0.9583078045132349,1.0538378690391714,0.8672572729056585,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-07,0.9096618322599973,1.0024650623662077,0.8213074068121398,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-08,0.8680841730792708,0.9590043782176274,0.7816330764321179,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-09,0.834956999240293,0.9248779585448517,0.749574809839045,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-10,0.8124822910062577,0.9023719082381877,0.72356194939766,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-11,0.8020980958819253,0.893447413354546,0.7107487784093045,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-12,0.8041929782662912,0.8981831556512442,0.7102028008813382,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-13,0.8189740405209264,0.9181335155585013,0.7198145654833514,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-14,0.8454936061609233,0.9523595541382883,0.7386276581835582,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-15,0.8808029203816353,0.995735924070039,0.7658699166932317,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-16,0.9206250220749566,1.0409060098255618,0.8003440343243513,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-17,0.9617303829870065,1.0809581958113301,0.8425025701626828,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-18,1.0030642278723152,1.1186728551719562,0.8918390435262725,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-19,1.0459297791367717,1.164605859587351,0.9335483857616316,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-20,1.0889945292003291,1.2101664068222657,0.9741316101182023,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-21,1.1270960669717793,1.249896855832143,1.010562498315182,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-22,1.1549569478062303,1.2807761329319778,1.0291377626804827,MWF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-23,1.1715462944316517,1.3083945471166247,1.0346980417466787,MWF
