country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,sampling
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-19,1.3966206214470438,1.5571726094251788,1.2446907046410776,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-20,1.275327473335966,1.4207673167571009,1.1376390756712915,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-21,1.1810286320963939,1.3156629493619212,1.053567256201213,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-22,1.105682989756015,1.232343042365405,0.9858022585650067,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-23,1.0542880852058776,1.1755597439212155,0.937994629729405,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-24,1.0316721590789661,1.1501178197063096,0.9195795764695205,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-25,1.032861468480137,1.150499790887372,0.9214852699175089,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-26,1.0425704894413794,1.1602611458605154,0.9310919858904121,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-27,1.0492285866328768,1.1669007714623,0.9377292367631599,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-28,1.0500866571113325,1.1673458371043859,0.938953387070418,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-29,1.053113004665451,1.1699734830608228,0.9423212774121715,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-30,1.0640903074091674,1.1809260611572274,0.9532613215639739,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-01,1.079235421845773,1.1962247232196268,0.9660350067699439,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-02,1.0907458115080375,1.2080163421085344,0.9734752809075407,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-03,1.0999461424805468,1.2175507177251714,0.9823415672359223,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-04,1.1068472538932232,1.2225976244967105,0.9918791707336475,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-05,1.1058508807573777,1.2203982467131984,0.9946733024717374,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-06,1.0928549206606524,1.2055287979782316,0.9849624057973438,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-07,1.0714548275394624,1.181844382545936,0.9664069848695548,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-08,1.0511121126187282,1.15938930634165,0.9480736539118261,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-09,1.035242136647816,1.1418419518040612,0.9324524377492396,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-10,1.0265154231626845,1.1331818140979584,0.9198490322274105,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-11,1.026218399350622,1.136484704453054,0.9159520942481901,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-12,1.0340663442794817,1.147111749775463,0.9210209387835004,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-13,1.0475206748636217,1.1639349317915106,0.9311064179357328,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-14,1.0626571695134286,1.1818625687318935,0.9434517702949636,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-15,1.0755607544995747,1.1948152435948423,0.9563062654043072,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-16,1.0838262048199334,1.2007420310402566,0.9669103785996103,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-17,1.085177476273571,1.1989461862757897,0.9714087662713523,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-18,1.0776580637552686,1.186673588836371,0.9686425386741662,TF
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-19,1.0618107544743383,1.1649532621148044,0.9586682468338721,TF
