country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,sampling
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-20,1.5895449271181148,1.8005590409880117,1.378530813248218,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-21,1.5250647509621789,1.7329304598842032,1.3171990420401545,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-22,1.4840007247837341,1.689121871231702,1.2788795783357663,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-23,1.4459558989739634,1.6414934874965001,1.2504183104514266,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-24,1.4066119061731102,1.5847483604546635,1.2284754518915568,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-25,1.3727321579098268,1.5334871987359686,1.211977117083685,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-26,1.3449419960950137,1.4943583025212241,1.1955256896688033,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-27,1.3141117282520984,1.4550439269623696,1.1731795295418272,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-28,1.2711585848688405,1.4017850592522736,1.1405321104854074,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-29,1.2154119086273572,1.3344783574998298,1.0963454597548845,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-30,1.1554284086049353,1.2672352380025187,1.04505633759691,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-01,1.097731636977315,1.2043339749542246,0.9924196848708889,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-02,1.0434189332018307,1.1458908890611654,0.9409469773424959,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-03,0.9876536087604868,1.0900165531948183,0.8852906643261553,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-04,0.928785183475075,1.0352964149713304,0.8222739519788196,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-05,0.8724865752417615,0.9856066893617462,0.7593664611217769,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-06,0.826987362474306,0.9460274733893035,0.7079472515593086,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-07,0.797208798022994,0.9202305074649597,0.6741870885810284,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-08,0.7834911448697678,0.9096519666146634,0.6573303231248722,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-09,0.7859437380286826,0.9149930293167543,0.6568944467406108,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-10,0.804086051008769,0.9354460087235158,0.6727260932940221,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-11,0.8362211587436217,0.9696628607213202,0.7027794567659231,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-12,0.880484550534189,1.016680611071637,0.7442884899967409,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-13,0.936401518661944,1.0744001397460492,0.7984028975778388,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-14,1.0043336427690759,1.1410039918859682,0.8676632936521835,WS
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-15,1.0842529016360487,1.217696058670367,0.9508097446017305,WS
