country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,sampling
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-20,1.494368204926995,1.6780563835997873,1.3211902899162988,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-21,1.455962831272773,1.6275443966564718,1.2938150525306706,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-22,1.446236414603713,1.6095480093790655,1.2915476764115774,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-23,1.4402167365712417,1.5964751183990222,1.291901307488423,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-24,1.427698467385997,1.5770521233241062,1.285677812863787,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-25,1.4124126079892068,1.5550827916883787,1.2765172912856455,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-26,1.395017053849426,1.5312962232390606,1.265005923415257,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-27,1.3673010074384173,1.4971411687700196,1.2432731283858656,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-28,1.3219957729891887,1.4450620241333025,1.204334719329936,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-29,1.260949910264684,1.3770719245243142,1.1498755976170771,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-11-30,1.1943435596430318,1.3039097501045642,1.0895225903140975,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-01,1.1291240469862323,1.2329060590981609,1.0298450158303072,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-02,1.066737512693161,1.165574079357454,0.9722223854520238,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-03,1.0034283423632686,1.097928595430497,0.9131249804993268,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-04,0.938366535911419,1.029017601689643,0.8518406251365443,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-05,0.8762815605629823,0.9637326346742343,0.7929355716168004,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-06,0.8230483787822078,0.9086966936008578,0.7374000639635578,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-07,0.7807037778318565,0.8668357689223081,0.694571786741405,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-08,0.7478115065713844,0.8320824363639628,0.663540576778806,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-09,0.7244344183614617,0.8087447809749462,0.6429232163300044,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-10,0.7115899957116161,0.7975506057069028,0.6304676499490184,W
Switzerland,Santa Clara,ETH,infection_s_gene,Cori_slidingWindow,2020-12-11,0.7099816904294229,0.7986161543762308,0.6264935201798464,W
