country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,sampling
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-11-29,1.320114469023786,1.575570951833003,1.0869724433211871,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-11-30,1.243946667932262,1.4810953109201037,1.0272310474920752,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-01,1.2000207227936464,1.4254727335279693,0.9937343897869743,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-02,1.1753697808483292,1.3929315459879836,0.9760515386369211,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-03,1.162047289733904,1.3739156142739966,0.9676992679989451,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-04,1.1527408212198191,1.3599590690531254,0.962436088929604,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-05,1.1420900768968743,1.3449522298386927,0.9556039797081795,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-06,1.1295639836267177,1.328191032669893,0.9468225986858351,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-07,1.115985779911624,1.310550121092194,0.9368593119482814,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-08,1.0993265135772334,1.2898560550375289,0.9238321893644618,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-09,1.0773413938656649,1.263702605254601,0.9056603694728346,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-10,1.0498511653671025,1.2319290125581333,0.8821505849485446,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-11,1.0181674696750325,1.196012164587707,0.8544585922141789,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-12,0.9823186700052652,1.1560465637430881,0.8225588844990553,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-13,0.9432975574826542,1.1131566564096487,0.7873245866140429,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-14,0.9032630820566843,1.0697235366269724,0.7507046074521367,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-15,0.8632830000430385,1.026939735054315,0.7136545559350486,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-16,0.8248653172918279,0.9864683467508232,0.6775393087500804,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-17,0.790514370672244,0.951066832115209,0.6446217056721282,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-18,0.7628644315377864,0.9236587944132807,0.6172579409055464,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-19,0.7408250219837796,0.9030748186689792,0.5944446443138568,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-20,0.7214797978970561,0.8860775326091767,0.573588575987309,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-21,0.7041236660046362,0.8718355481562312,0.5541104738267554,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-22,0.6883700719891621,0.8598916203891306,0.5356990667451456,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-23,0.6732127618709713,0.8491204190303929,0.5174788194325837,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-24,0.6572067114473836,0.8379004469847299,0.498198286895019,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-25,0.6398960111894878,0.8257167923382569,0.47748428703769724,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-26,0.6212811154572473,0.8125901438003078,0.4553515623677181,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-27,0.6009005255281453,0.7980336855476144,0.43141181619895647,F
Switzerland,ZH,ETH,infection_norm_n1,Cori_slidingWindow,2020-12-28,0.5782833111946661,0.7815470998291005,0.4052857945073336,F
